Title,Note,URL,Comment
Angela,I saw a black bear here once!!! It was so cool ,"https://www.google.com/maps/search/42.3760755,-72.5261429",
Angela,Nice swing in the woods hehe sometimes theres a letterbox to sign ,"https://www.google.com/maps/search/42.4019815,-72.5170096",
Angela,"American chestnut trees on campus!! The story of the American chestnut is my “Roman empire”, this tree used to dominate northeastern forests till a blight came through in the beginning of the 19th century. It was a source of hardwood for building and a major source of carbohydrates for the American diet. But the blight came through and wiped out the trees. Now they are still around, but cannot reach maturity before the chestnut blight hits them and their bark splits and they get stunted. ","https://www.google.com/maps/search/42.3953101,-72.5227633",
Angela,Cute farm with black sheep and horses. I want to live here ,"https://www.google.com/maps/search/42.4147092,-72.476748",
Angela,"Wide open spacessssss, room to make her big mistakes ","https://www.google.com/maps/search/42.3626787,-72.5091591",
Angela,Neighborhood that reminds me of Seattle neighborhoods,"https://www.google.com/maps/search/42.330567,-72.6429058",
Angela,Cute indy cinema ,"https://www.google.com/maps/search/42.3752197,-72.5204626",
Angela,"Woodcock mating display spot! Went at dusk in early spring, so cool. ","https://www.google.com/maps/search/42.3971025,-72.5164168",
Angela,Nice viewpoint of the Holyoke mountains ,"https://www.google.com/maps/search/42.3699191,-72.5169617",
Angela,"Beaver sightings. With 4 babies too! Beavers dont hibernate, so youll even see them in the winter ","https://www.google.com/maps/search/42.3498371,-72.4957011"
